SRA_ID	BioProject	BioSample	LibraryLayout	tissue
SRR22201559	PRJNA898683	SAMN31621251	PAIRED	Root
SRR22201560	PRJNA898683	SAMN31621250	PAIRED	Root
SRR22201569	PRJNA898683	SAMN31621243	PAIRED	Root
SRR22201561	PRJNA898683	SAMN31621249	PAIRED	Root
SRR22201565	PRJNA898683	SAMN31621245	PAIRED	Root
SRR22201568	PRJNA898683	SAMN31621244	PAIRED	Root
